"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Probability of premature mortality from NCDs","","2019","Albania","European Region","Total","","11.39601","7.29982","16.85685","",
"Probability of premature mortality from NCDs","","2019","Albania","European Region","Males","","16.68139","10.72818","24.46146","",
"Probability of premature mortality from NCDs","","2019","Albania","European Region","Females","","6.04557","3.90775","8.90147","",
"Probability of premature mortality from NCDs","","2019","Algeria","African Region","Total","","13.85875","8.91576","20.00592","",
"Probability of premature mortality from NCDs","","2019","Algeria","African Region","Males","","14.8553","9.49103","21.5009","",
"Probability of premature mortality from NCDs","","2019","Algeria","African Region","Females","","12.81713","8.31745","18.43383","",
"Probability of premature mortality from NCDs","","2019","Angola","African Region","Total","","22.24695","13.77637","32.83812","",
"Probability of premature mortality from NCDs","","2019","Angola","African Region","Males","","25.22424","16.10596","36.42551","",
"Probability of premature mortality from NCDs","","2019","Angola","African Region","Females","","19.38185","11.55873","29.33734","",
"Probability of premature mortality from NCDs","","2019","Antigua and Barbuda","Region of the Americas","Total","","17.54642","12.67217","23.19885","",
"Probability of premature mortality from NCDs","","2019","Antigua and Barbuda","Region of the Americas","Males","","17.50648","12.67291","23.26412","",
"Probability of premature mortality from NCDs","","2019","Antigua and Barbuda","Region of the Americas","Females","","17.57964","12.67002","23.14007","",
"Probability of premature mortality from NCDs","","2019","Argentina","Region of the Americas","Total","","15.72067","12.54862","19.36578","",
"Probability of premature mortality from NCDs","","2019","Argentina","Region of the Americas","Males","","19.70748","16.03574","23.93634","",
"Probability of premature mortality from NCDs","","2019","Argentina","Region of the Americas","Females","","12.13572","9.43548","15.2169","",
"Probability of premature mortality from NCDs","","2019","Armenia","European Region","Total","","19.92932","15.47366","24.96544","",
"Probability of premature mortality from NCDs","","2019","Armenia","European Region","Males","","27.99897","22.17701","34.30996","",
"Probability of premature mortality from NCDs","","2019","Armenia","European Region","Females","","13.37903","10.13892","17.2107","",
"Probability of premature mortality from NCDs","","2019","Australia","Western Pacific Region","Total","","8.58537","6.73364","10.77368","",
"Probability of premature mortality from NCDs","","2019","Australia","Western Pacific Region","Males","","10.36163","8.1785","12.9442","",
"Probability of premature mortality from NCDs","","2019","Australia","Western Pacific Region","Females","","6.84083","5.32025","8.63112","",
"Probability of premature mortality from NCDs","","2019","Austria","European Region","Total","","10.36782","8.25203","12.91779","",
"Probability of premature mortality from NCDs","","2019","Austria","European Region","Males","","12.93048","10.49343","15.94364","",
"Probability of premature mortality from NCDs","","2019","Austria","European Region","Females","","7.89751","6.10227","9.98131","",
"Probability of premature mortality from NCDs","","2019","Azerbaijan","European Region","Total","","27.20014","19.36969","36.60186","",
"Probability of premature mortality from NCDs","","2019","Azerbaijan","European Region","Males","","34.35508","24.92017","45.33945","",
"Probability of premature mortality from NCDs","","2019","Azerbaijan","European Region","Females","","20.41903","14.27206","27.96514","",
"Probability of premature mortality from NCDs","","2019","Bahamas","Region of the Americas","Total","","19.89816","14.42223","26.42556","",
"Probability of premature mortality from NCDs","","2019","Bahamas","Region of the Americas","Males","","23.57082","17.20335","31.01537","",
"Probability of premature mortality from NCDs","","2019","Bahamas","Region of the Americas","Females","","16.63826","11.98478","22.28553","",
"Probability of premature mortality from NCDs","","2019","Bahrain","Eastern Mediterranean Region","Total","","16.05922","11.06296","22.2035","",
"Probability of premature mortality from NCDs","","2019","Bahrain","Eastern Mediterranean Region","Males","","16.38267","11.24283","22.80809","",
"Probability of premature mortality from NCDs","","2019","Bahrain","Eastern Mediterranean Region","Females","","15.4298","10.68617","21.10747","",
"Probability of premature mortality from NCDs","","2019","Bangladesh","South-East Asian Region","Total","","18.88798","11.69142","28.3129","",
"Probability of premature mortality from NCDs","","2019","Bangladesh","South-East Asian Region","Males","","21.21914","12.87841","31.9366","",
"Probability of premature mortality from NCDs","","2019","Bangladesh","South-East Asian Region","Females","","16.24701","10.36349","24.11563","",
"Probability of premature mortality from NCDs","","2019","Barbados","Region of the Americas","Total","","15.95721","11.3792","21.27555","",
"Probability of premature mortality from NCDs","","2019","Barbados","Region of the Americas","Males","","17.48307","12.51317","23.25211","",
"Probability of premature mortality from NCDs","","2019","Barbados","Region of the Americas","Females","","14.60594","10.38099","19.51179","",
"Probability of premature mortality from NCDs","","2019","Belarus","European Region","Total","","23.75091","17.23874","31.85496","",
"Probability of premature mortality from NCDs","","2019","Belarus","European Region","Males","","35.70079","26.6897","46.07993","",
"Probability of premature mortality from NCDs","","2019","Belarus","European Region","Females","","13.56404","9.53142","19.04346","",
"Probability of premature mortality from NCDs","","2019","Belgium","European Region","Total","","10.56445","8.38511","13.12799","",
"Probability of premature mortality from NCDs","","2019","Belgium","European Region","Males","","12.97318","10.48574","15.96564","",
"Probability of premature mortality from NCDs","","2019","Belgium","European Region","Females","","8.18572","6.31904","10.30912","",
"Probability of premature mortality from NCDs","","2019","Belize","Region of the Americas","Total","","16.46762","12.33356","21.31024","",
"Probability of premature mortality from NCDs","","2019","Belize","Region of the Americas","Males","","18.5173","13.86104","23.94097","",
"Probability of premature mortality from NCDs","","2019","Belize","Region of the Americas","Females","","14.32824","10.74909","18.54149","",
"Probability of premature mortality from NCDs","","2019","Benin","African Region","Total","","22.62415","14.02641","33.37122","",
"Probability of premature mortality from NCDs","","2019","Benin","African Region","Males","","24.48938","15.15461","36.13172","",
"Probability of premature mortality from NCDs","","2019","Benin","African Region","Females","","20.95486","13.03277","30.85258","",
"Probability of premature mortality from NCDs","","2019","Bhutan","South-East Asian Region","Total","","18.45957","10.72131","29.03439","",
"Probability of premature mortality from NCDs","","2019","Bhutan","South-East Asian Region","Males","","19.57084","11.21679","31.25349","",
"Probability of premature mortality from NCDs","","2019","Bhutan","South-East Asian Region","Females","","17.15119","10.14264","26.36863","",
"Probability of premature mortality from NCDs","","2019","Bolivia (Plurinational State of)","Region of the Americas","Total","","17.88433","10.39345","27.45404","",
"Probability of premature mortality from NCDs","","2019","Bolivia (Plurinational State of)","Region of the Americas","Males","","17.45573","10.02911","26.91154","",
"Probability of premature mortality from NCDs","","2019","Bolivia (Plurinational State of)","Region of the Americas","Females","","18.32423","10.75815","28.01564","",
"Probability of premature mortality from NCDs","","2019","Bosnia and Herzegovina","European Region","Total","","18.71701","13.06494","25.63667","",
"Probability of premature mortality from NCDs","","2019","Bosnia and Herzegovina","European Region","Males","","23.95483","16.92196","32.38901","",
"Probability of premature mortality from NCDs","","2019","Bosnia and Herzegovina","European Region","Females","","13.6442","9.40537","18.91625","",
"Probability of premature mortality from NCDs","","2019","Botswana","African Region","Total","","27.0326","16.10268","40.20833","",
"Probability of premature mortality from NCDs","","2019","Botswana","African Region","Males","","32.67685","20.60512","46.33305","",
"Probability of premature mortality from NCDs","","2019","Botswana","African Region","Females","","22.65624","12.69036","35.31821","",
"Probability of premature mortality from NCDs","","2019","Brazil","Region of the Americas","Total","","15.49638","13.87964","17.43299","",
"Probability of premature mortality from NCDs","","2019","Brazil","Region of the Americas","Males","","18.64404","16.79888","20.86537","",
"Probability of premature mortality from NCDs","","2019","Brazil","Region of the Americas","Females","","12.65531","11.2542","14.32329","",
"Probability of premature mortality from NCDs","","2019","Brunei Darussalam","Western Pacific Region","Total","","18.5248","13.19271","24.96338","",
"Probability of premature mortality from NCDs","","2019","Brunei Darussalam","Western Pacific Region","Males","","20.20572","14.56652","26.94563","",
"Probability of premature mortality from NCDs","","2019","Brunei Darussalam","Western Pacific Region","Females","","16.74139","11.74234","22.84714","",
"Probability of premature mortality from NCDs","","2019","Bulgaria","European Region","Total","","24.15713","17.40608","31.64805","",
"Probability of premature mortality from NCDs","","2019","Bulgaria","European Region","Males","","32.14942","23.61238","41.2018","",
"Probability of premature mortality from NCDs","","2019","Bulgaria","European Region","Females","","16.38867","11.55571","22.01834","",
"Probability of premature mortality from NCDs","","2019","Burkina Faso","African Region","Total","","23.93053","15.20022","34.42818","",
"Probability of premature mortality from NCDs","","2019","Burkina Faso","African Region","Males","","26.3973","16.98331","37.55603","",
"Probability of premature mortality from NCDs","","2019","Burkina Faso","African Region","Females","","22.08354","13.89401","32.03286","",
"Probability of premature mortality from NCDs","","2019","Burundi","African Region","Total","","24.96597","14.67586","38.32574","",
"Probability of premature mortality from NCDs","","2019","Burundi","African Region","Males","","26.89445","16.00078","41.15257","",
"Probability of premature mortality from NCDs","","2019","Burundi","African Region","Females","","23.21963","13.48623","35.71822","",
"Probability of premature mortality from NCDs","","2019","Cabo Verde","African Region","Total","","17.44297","11.58413","24.71613","",
"Probability of premature mortality from NCDs","","2019","Cabo Verde","African Region","Males","","23.17329","15.60332","32.17164","",
"Probability of premature mortality from NCDs","","2019","Cabo Verde","African Region","Females","","12.69489","8.35738","18.29744","",
"Probability of premature mortality from NCDs","","2019","Cambodia","Western Pacific Region","Total","","22.5075","14.37139","32.45142","",
"Probability of premature mortality from NCDs","","2019","Cambodia","Western Pacific Region","Males","","27.49423","17.98465","38.64824","",
"Probability of premature mortality from NCDs","","2019","Cambodia","Western Pacific Region","Females","","18.81115","11.75274","27.73237","",
"Probability of premature mortality from NCDs","","2019","Cameroon","African Region","Total","","23.91907","14.21807","36.09645","",
"Probability of premature mortality from NCDs","","2019","Cameroon","African Region","Males","","25.68502","15.45823","38.49551","",
"Probability of premature mortality from NCDs","","2019","Cameroon","African Region","Females","","22.32152","13.1008","33.89796","",
"Probability of premature mortality from NCDs","","2019","Canada","Region of the Americas","Total","","9.61899","7.59194","12.02558","",
"Probability of premature mortality from NCDs","","2019","Canada","Region of the Americas","Males","","11.24308","9.00187","13.93293","",
"Probability of premature mortality from NCDs","","2019","Canada","Region of the Americas","Females","","8.01182","6.20036","10.13148","",
"Probability of premature mortality from NCDs","","2019","Central African Republic","African Region","Total","","36.00362","21.08338","53.62094","",
"Probability of premature mortality from NCDs","","2019","Central African Republic","African Region","Males","","40.91103","25.36499","58.05276","",
"Probability of premature mortality from NCDs","","2019","Central African Republic","African Region","Females","","31.79984","17.50875","49.74219","",
"Probability of premature mortality from NCDs","","2019","Chad","African Region","Total","","22.73849","13.84579","33.79404","",
"Probability of premature mortality from NCDs","","2019","Chad","African Region","Males","","22.91541","13.90886","34.19312","",
"Probability of premature mortality from NCDs","","2019","Chad","African Region","Females","","22.6121","13.81737","33.46871","",
"Probability of premature mortality from NCDs","","2019","Chile","Region of the Americas","Total","","10.03513","7.80681","12.62302","",
"Probability of premature mortality from NCDs","","2019","Chile","Region of the Americas","Males","","11.97786","9.46032","14.88612","",
"Probability of premature mortality from NCDs","","2019","Chile","Region of the Americas","Females","","8.25523","6.29808","10.54008","",
"Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Total","","15.85141","12.28887","19.81489","",
"Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Males","","20.23156","15.76156","25.11106","",
"Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Females","","11.2267","8.66951","14.13905","",
"Probability of premature mortality from NCDs","","2019","Colombia","Region of the Americas","Total","","9.73468","6.71688","13.64639","",
"Probability of premature mortality from NCDs","","2019","Colombia","Region of the Americas","Males","","10.77118","7.37633","15.15564","",
"Probability of premature mortality from NCDs","","2019","Colombia","Region of the Americas","Females","","8.85334","6.15947","12.35457","",
"Probability of premature mortality from NCDs","","2019","Comoros","African Region","Total","","20.62296","12.1116","31.53365","",
"Probability of premature mortality from NCDs","","2019","Comoros","African Region","Males","","20.71358","12.03856","32.22825","",
"Probability of premature mortality from NCDs","","2019","Comoros","African Region","Females","","20.57235","12.2049","30.91868","",
"Probability of premature mortality from NCDs","","2019","Congo","African Region","Total","","22.59979","13.57831","33.64114","",
"Probability of premature mortality from NCDs","","2019","Congo","African Region","Males","","22.96151","13.99747","33.79922","",
"Probability of premature mortality from NCDs","","2019","Congo","African Region","Females","","22.31896","13.22428","33.55244","",
"Probability of premature mortality from NCDs","","2019","Costa Rica","Region of the Americas","Total","","9.53475","6.444","13.49185","",
"Probability of premature mortality from NCDs","","2019","Costa Rica","Region of the Americas","Males","","11.04941","7.47364","15.54812","",
"Probability of premature mortality from NCDs","","2019","Costa Rica","Region of the Americas","Females","","8.08026","5.46109","11.50373","",
"Probability of premature mortality from NCDs","","2019","Côte d'Ivoire","African Region","Total","","21.71013","13.20398","32.00408","",
"Probability of premature mortality from NCDs","","2019","Côte d'Ivoire","African Region","Males","","23.6246","14.38779","34.56532","",
"Probability of premature mortality from NCDs","","2019","Côte d'Ivoire","African Region","Females","","19.47103","11.83313","28.9712","",
"Probability of premature mortality from NCDs","","2019","Croatia","European Region","Total","","16.07339","11.50645","21.62711","",
"Probability of premature mortality from NCDs","","2019","Croatia","European Region","Males","","21.79666","15.83968","28.82581","",
"Probability of premature mortality from NCDs","","2019","Croatia","European Region","Females","","10.51811","7.38144","14.46663","",
"Probability of premature mortality from NCDs","","2019","Cuba","Region of the Americas","Total","","16.58107","11.96301","21.7553","",
"Probability of premature mortality from NCDs","","2019","Cuba","Region of the Americas","Males","","19.8425","14.6045","25.78689","",
"Probability of premature mortality from NCDs","","2019","Cuba","Region of the Americas","Females","","13.46613","9.46397","17.85751","",
"Probability of premature mortality from NCDs","","2019","Cyprus","European Region","Total","","8.19378","5.93708","10.95631","",
"Probability of premature mortality from NCDs","","2019","Cyprus","European Region","Males","","10.67678","7.91291","14.01953","",
"Probability of premature mortality from NCDs","","2019","Cyprus","European Region","Females","","5.74392","3.99939","7.91173","",
"Probability of premature mortality from NCDs","","2019","Czechia","European Region","Total","","14.25335","10.53427","18.5917","",
"Probability of premature mortality from NCDs","","2019","Czechia","European Region","Males","","18.83027","14.12744","24.23028","",
"Probability of premature mortality from NCDs","","2019","Czechia","European Region","Females","","9.8088","7.0963","13.02109","",
"Probability of premature mortality from NCDs","","2019","Democratic People's Republic of Korea","South-East Asian Region","Total","","23.93753","15.69958","33.57068","",
"Probability of premature mortality from NCDs","","2019","Democratic People's Republic of Korea","South-East Asian Region","Males","","29.83736","20.11362","40.69833","",
"Probability of premature mortality from NCDs","","2019","Democratic People's Republic of Korea","South-East Asian Region","Females","","18.62924","11.85735","26.89525","",
"Probability of premature mortality from NCDs","","2019","Democratic Republic of the Congo","African Region","Total","","24.04843","13.74589","37.51797","",
"Probability of premature mortality from NCDs","","2019","Democratic Republic of the Congo","African Region","Males","","25.97752","15.01108","40.10717","",
"Probability of premature mortality from NCDs","","2019","Democratic Republic of the Congo","African Region","Females","","22.24394","12.57787","35.04904","",
"Probability of premature mortality from NCDs","","2019","Denmark","European Region","Total","","10.77049","8.25765","13.54138","",
"Probability of premature mortality from NCDs","","2019","Denmark","European Region","Males","","12.56388","9.8065","15.6843","",
"Probability of premature mortality from NCDs","","2019","Denmark","European Region","Females","","9.00499","6.73879","11.42085","",
"Probability of premature mortality from NCDs","","2019","Djibouti","Eastern Mediterranean Region","Total","","22.01451","12.33033","34.83617","",
"Probability of premature mortality from NCDs","","2019","Djibouti","Eastern Mediterranean Region","Males","","23.42587","13.33946","36.89882","",
"Probability of premature mortality from NCDs","","2019","Djibouti","Eastern Mediterranean Region","Females","","20.59985","11.32003","32.74701","",
"Probability of premature mortality from NCDs","","2019","Dominican Republic","Region of the Americas","Total","","19.13208","12.09434","28.00739","",
"Probability of premature mortality from NCDs","","2019","Dominican Republic","Region of the Americas","Males","","22.12487","14.06095","32.12916","",
"Probability of premature mortality from NCDs","","2019","Dominican Republic","Region of the Americas","Females","","16.22097","10.20952","23.91589","",
"Probability of premature mortality from NCDs","","2019","Ecuador","Region of the Americas","Total","","11.03699","7.48451","15.56639","",
"Probability of premature mortality from NCDs","","2019","Ecuador","Region of the Americas","Males","","11.79355","7.98277","16.6803","",
"Probability of premature mortality from NCDs","","2019","Ecuador","Region of the Americas","Females","","10.33245","7.02229","14.5238","",
"Probability of premature mortality from NCDs","","2019","Egypt","Eastern Mediterranean Region","Total","","28.03471","17.77958","40.35998","",
"Probability of premature mortality from NCDs","","2019","Egypt","Eastern Mediterranean Region","Males","","32.73745","21.01744","46.75897","",
"Probability of premature mortality from NCDs","","2019","Egypt","Eastern Mediterranean Region","Females","","23.21557","14.5493","33.51162","",
"Probability of premature mortality from NCDs","","2019","El Salvador","Region of the Americas","Total","","10.67081","6.89514","15.50199","",
"Probability of premature mortality from NCDs","","2019","El Salvador","Region of the Americas","Males","","12.17354","7.81056","17.81989","",
"Probability of premature mortality from NCDs","","2019","El Salvador","Region of the Americas","Females","","9.56049","6.22376","13.77293","",
"Probability of premature mortality from NCDs","","2019","Equatorial Guinea","African Region","Total","","22.13812","11.62899","36.39415","",
"Probability of premature mortality from NCDs","","2019","Equatorial Guinea","African Region","Males","","22.0765","12.02078","34.95885","",
"Probability of premature mortality from NCDs","","2019","Equatorial Guinea","African Region","Females","","22.77886","11.49425","38.78746","",
"Probability of premature mortality from NCDs","","2019","Eritrea","African Region","Total","","26.80168","15.71646","40.18379","",
"Probability of premature mortality from NCDs","","2019","Eritrea","African Region","Males","","29.49623","17.48645","43.46904","",
"Probability of premature mortality from NCDs","","2019","Eritrea","African Region","Females","","24.34764","14.13601","37.11861","",
"Probability of premature mortality from NCDs","","2019","Estonia","European Region","Total","","14.90192","9.83196","20.62044","",
"Probability of premature mortality from NCDs","","2019","Estonia","European Region","Males","","22.09626","14.85795","29.92072","",
"Probability of premature mortality from NCDs","","2019","Estonia","European Region","Females","","8.83945","5.71991","12.5146","",
"Probability of premature mortality from NCDs","","2019","Eswatini","African Region","Total","","35.24147","21.21123","50.96434","",
"Probability of premature mortality from NCDs","","2019","Eswatini","African Region","Males","","45.16491","29.05792","61.58356","",
"Probability of premature mortality from NCDs","","2019","Eswatini","African Region","Females","","24.10584","12.9382","38.11485","",
"Probability of premature mortality from NCDs","","2019","Ethiopia","African Region","Total","","17.09935","11.29256","24.70396","",
"Probability of premature mortality from NCDs","","2019","Ethiopia","African Region","Males","","17.3688","11.28587","25.43973","",
"Probability of premature mortality from NCDs","","2019","Ethiopia","African Region","Females","","16.90312","11.33066","24.10922","",
"Probability of premature mortality from NCDs","","2019","Fiji","Western Pacific Region","Total","","37.6787","26.94587","49.05193","",
"Probability of premature mortality from NCDs","","2019","Fiji","Western Pacific Region","Males","","41.83677","30.6192","53.55893","",
"Probability of premature mortality from NCDs","","2019","Fiji","Western Pacific Region","Females","","33.4329","23.23131","44.36161","",
"Probability of premature mortality from NCDs","","2019","Finland","European Region","Total","","9.60175","7.4947","11.96204","",
"Probability of premature mortality from NCDs","","2019","Finland","European Region","Males","","12.40962","9.85703","15.24655","",
"Probability of premature mortality from NCDs","","2019","Finland","European Region","Females","","6.84981","5.19733","8.71861","",
"Probability of premature mortality from NCDs","","2019","France","European Region","Total","","10.58292","8.20232","13.45291","",
"Probability of premature mortality from NCDs","","2019","France","European Region","Males","","14","10.97299","17.56522","",
"Probability of premature mortality from NCDs","","2019","France","European Region","Females","","7.33377","5.59027","9.50485","",
"Probability of premature mortality from NCDs","","2019","Gabon","African Region","Total","","21.33054","12.66556","32.02001","",
"Probability of premature mortality from NCDs","","2019","Gabon","African Region","Males","","26.04806","16.05071","37.82893","",
"Probability of premature mortality from NCDs","","2019","Gabon","African Region","Females","","16.58929","9.33877","26.01692","",
"Probability of premature mortality from NCDs","","2019","Gambia","African Region","Total","","21.08724","12.62235","31.65806","",
"Probability of premature mortality from NCDs","","2019","Gambia","African Region","Males","","22.22766","13.41919","33.24483","",
"Probability of premature mortality from NCDs","","2019","Gambia","African Region","Females","","19.97002","11.83827","30.1038","",
"Probability of premature mortality from NCDs","","2019","Georgia","European Region","Total","","24.89242","18.92348","31.36921","",
"Probability of premature mortality from NCDs","","2019","Georgia","European Region","Males","","35.54576","27.66794","43.60329","",
"Probability of premature mortality from NCDs","","2019","Georgia","European Region","Females","","15.24941","11.27948","19.85242","",
"Probability of premature mortality from NCDs","","2019","Germany","European Region","Total","","12.05419","9.64385","14.80829","",
"Probability of premature mortality from NCDs","","2019","Germany","European Region","Males","","15.16285","12.31587","18.43713","",
"Probability of premature mortality from NCDs","","2019","Germany","European Region","Females","","9.0062","7.0406","11.22294","",
"Probability of premature mortality from NCDs","","2019","Ghana","African Region","Total","","22.46803","14.13174","32.46683","",
"Probability of premature mortality from NCDs","","2019","Ghana","African Region","Males","","24.25252","15.13515","35.12368","",
"Probability of premature mortality from NCDs","","2019","Ghana","African Region","Females","","20.79709","13.20748","29.93306","",
"Probability of premature mortality from NCDs","","2019","Greece","European Region","Total","","12.47716","10.25482","14.99248","",
"Probability of premature mortality from NCDs","","2019","Greece","European Region","Males","","17.23038","14.43453","20.38182","",
"Probability of premature mortality from NCDs","","2019","Greece","European Region","Females","","7.97049","6.32004","9.83928","",
"Probability of premature mortality from NCDs","","2019","Grenada","Region of the Americas","Total","","23.34891","17.75504","29.58058","",
"Probability of premature mortality from NCDs","","2019","Grenada","Region of the Americas","Males","","26.3148","20.27391","32.98113","",
"Probability of premature mortality from NCDs","","2019","Grenada","Region of the Americas","Females","","20.19991","15.10399","25.93336","",
"Probability of premature mortality from NCDs","","2019","Guatemala","Region of the Americas","Total","","16.47276","11.66358","22.26491","",
"Probability of premature mortality from NCDs","","2019","Guatemala","Region of the Americas","Males","","16.53266","11.57018","22.52228","",
"Probability of premature mortality from NCDs","","2019","Guatemala","Region of the Americas","Females","","16.41779","11.73339","22.0495","",
"Probability of premature mortality from NCDs","","2019","Guinea","African Region","Total","","24.90209","15.22445","36.70227","",
"Probability of premature mortality from NCDs","","2019","Guinea","African Region","Males","","24.87503","15.10867","37.0271","",
"Probability of premature mortality from NCDs","","2019","Guinea","African Region","Females","","24.95325","15.32421","36.53301","",
"Probability of premature mortality from NCDs","","2019","Guinea-Bissau","African Region","Total","","24.85319","15.36146","36.31793","",
"Probability of premature mortality from NCDs","","2019","Guinea-Bissau","African Region","Males","","27.3855","17.17514","39.42783","",
"Probability of premature mortality from NCDs","","2019","Guinea-Bissau","African Region","Females","","22.98446","14.03063","33.99062","",
"Probability of premature mortality from NCDs","","2019","Guyana","Region of the Americas","Total","","29.18983","20.91325","38.59834","",
"Probability of premature mortality from NCDs","","2019","Guyana","Region of the Americas","Males","","32.05956","23.04799","42.13848","",
"Probability of premature mortality from NCDs","","2019","Guyana","Region of the Americas","Females","","26.42193","18.87875","35.13477","",
"Probability of premature mortality from NCDs","","2019","Haiti","Region of the Americas","Total","","31.33782","17.91679","47.98646","",
"Probability of premature mortality from NCDs","","2019","Haiti","Region of the Americas","Males","","29.92362","17.54618","45.73589","",
"Probability of premature mortality from NCDs","","2019","Haiti","Region of the Americas","Females","","32.60979","18.26579","49.96424","",
"Probability of premature mortality from NCDs","","2019","Honduras","Region of the Americas","Total","","18.67587","10.75096","28.91428","",
"Probability of premature mortality from NCDs","","2019","Honduras","Region of the Americas","Males","","17.87441","10.6045","27.18184","",
"Probability of premature mortality from NCDs","","2019","Honduras","Region of the Americas","Females","","19.42576","10.90803","30.47968","",
"Probability of premature mortality from NCDs","","2019","Hungary","European Region","Total","","22.12835","16.81206","28.14907","",
"Probability of premature mortality from NCDs","","2019","Hungary","European Region","Males","","29.80351","23.09979","37.26217","",
"Probability of premature mortality from NCDs","","2019","Hungary","European Region","Females","","15.16795","11.24309","19.64075","",
"Probability of premature mortality from NCDs","","2019","Iceland","European Region","Total","","8.65321","6.62147","11.07134","",
"Probability of premature mortality from NCDs","","2019","Iceland","European Region","Males","","10.24332","7.99469","12.89512","",
"Probability of premature mortality from NCDs","","2019","Iceland","European Region","Females","","7.03302","5.22613","9.20704","",
"Probability of premature mortality from NCDs","","2019","India","South-East Asian Region","Total","","21.85158","16.4898","27.65556","",
"Probability of premature mortality from NCDs","","2019","India","South-East Asian Region","Males","","24.56677","18.8489","30.83679","",
"Probability of premature mortality from NCDs","","2019","India","South-East Asian Region","Females","","18.9743","14.00428","24.25536","",
"Probability of premature mortality from NCDs","","2019","Indonesia","South-East Asian Region","Total","","24.80398","17.91053","32.26571","",
"Probability of premature mortality from NCDs","","2019","Indonesia","South-East Asian Region","Males","","28.37395","20.62145","36.47449","",
"Probability of premature mortality from NCDs","","2019","Indonesia","South-East Asian Region","Females","","21.08994","15.13128","27.82013","",
"Probability of premature mortality from NCDs","","2019","Iran (Islamic Republic of)","Eastern Mediterranean Region","Total","","14.80349","12.80319","16.74565","",
"Probability of premature mortality from NCDs","","2019","Iran (Islamic Republic of)","Eastern Mediterranean Region","Males","","17.5656","15.40693","19.88154","",
"Probability of premature mortality from NCDs","","2019","Iran (Islamic Republic of)","Eastern Mediterranean Region","Females","","11.96267","10.13249","13.50231","",
"Probability of premature mortality from NCDs","","2019","Iraq","Eastern Mediterranean Region","Total","","23.54735","16.53645","31.38827","",
"Probability of premature mortality from NCDs","","2019","Iraq","Eastern Mediterranean Region","Males","","27.52188","19.60959","35.95823","",
"Probability of premature mortality from NCDs","","2019","Iraq","Eastern Mediterranean Region","Females","","19.98732","13.82201","27.22999","",
"Probability of premature mortality from NCDs","","2019","Ireland","European Region","Total","","9.65748","7.39992","12.3086","",
"Probability of premature mortality from NCDs","","2019","Ireland","European Region","Males","","11.23266","8.7095","14.16993","",
"Probability of premature mortality from NCDs","","2019","Ireland","European Region","Females","","8.10198","6.11082","10.46378","",
